return_id,order_item_id,return_date,reason,refund_amount
51,1020,2022-12-15,Defective,449.0
52,927,2022-12-17,Defective,436.05
53,998,2022-12-18,Wrong item,2298.0
54,1044,2022-12-19,Size/fit issue,426.55
55,983,2023-01-02,Defective,460.6
56,1078,2023-01-02,Defective,293.55
57,997,2023-01-03,Changed mind,383.9
58,1157,2023-01-05,Defective,789.0
59,1068,2023-01-11,Changed mind,404.1
60,1101,2023-01-12,Changed mind,502.56
61,1109,2023-01-15,Size/fit issue,161.1
62,1259,2023-01-16,Not as described,2098.55
63,1289,2023-01-20,Size/fit issue,509.0
64,1232,2023-01-20,Defective,5559.2
65,1239,2023-01-25,Size/fit issue,449.0
66,1261,2023-01-27,Defective,1293.3
67,1416,2023-02-03,Size/fit issue,312.55
68,1253,2023-02-04,Size/fit issue,2209.0
69,1442,2023-02-07,Defective,175.2
70,1315,2023-02-11,Not as described,479.0
71,1513,2023-02-20,Late delivery,179.0
72,1528,2023-02-21,Size/fit issue,1169.0
73,1411,2023-02-23,Size/fit issue,521.55
74,1602,2023-03-01,Defective,839.0
75,1589,2023-03-01,Wrong item,1223.15
76,1465,2023-03-05,Not as described,449.0
77,1664,2023-03-06,Size/fit issue,919.0
78,1570,2023-03-14,Changed mind,233.1
79,1688,2023-03-16,Size/fit issue,1498.0
80,1554,2023-03-16,Not as described,658.0
81,1685,2023-03-17,Changed mind,343.48
82,1652,2023-03-21,Not as described,736.2
83,1791,2023-03-21,Changed mind,728.1
84,1686,2023-03-24,Not as described,404.1
85,1925,2023-03-26,Size/fit issue,569.05
86,1780,2023-03-29,Defective,436.05
87,1874,2023-03-29,Not as described,3897.0
88,1707,2023-03-29,Changed mind,836.1
89,1939,2023-03-29,Defective,368.1
90,1786,2023-04-01,Defective,219.0
91,1866,2023-04-02,Size/fit issue,312.55
92,1887,2023-04-03,Changed mind,371.79
93,1825,2023-04-06,Size/fit issue,2139.0
94,1994,2023-04-07,Changed mind,665.1
95,1933,2023-04-10,Size/fit issue,426.55
96,1938,2023-04-10,Size/fit issue,836.1
97,2025,2023-04-11,Wrong item,735.2
98,2094,2023-04-13,Size/fit issue,1376.55
99,1901,2023-04-14,Size/fit issue,246.05
100,1882,2023-04-14,Size/fit issue,1078.2
101,2154,2023-04-18,Changed mind,827.1
102,2033,2023-04-21,Size/fit issue,1789.0
103,2040,2023-04-21,Defective,719.0
104,2017,2023-04-23,Wrong item,449.0
105,2162,2023-04-25,Changed mind,2043.36
106,1989,2023-04-26,Wrong item,2279.05
107,2055,2023-04-30,Not as described,449.0
108,2245,2023-05-02,Late delivery,449.0
109,2234,2023-05-06,Wrong item,869.0
110,2110,2023-05-06,Wrong item,559.0
111,2217,2023-05-09,Wrong item,399.0
112,2156,2023-05-11,Changed mind,404.1
113,2146,2023-05-13,Size/fit issue,1359.0
114,2336,2023-05-14,Not as described,399.0
115,2489,2023-05-16,Defective,1829.0
116,2205,2023-05-16,Not as described,483.55
117,2492,2023-05-17,Size/fit issue,449.0
118,2422,2023-05-18,Size/fit issue,1149.0
119,2386,2023-05-19,Wrong item,2284.2
120,2546,2023-05-20,Defective,987.0
121,2482,2023-05-21,Late delivery,479.0
122,2539,2023-05-21,Defective,989.0
123,2353,2023-05-21,Wrong item,1610.1
124,2566,2023-05-23,Wrong item,2870.1
125,2434,2023-05-24,Not as described,531.05
126,2630,2023-05-25,Wrong item,5387.3
127,2645,2023-05-26,Changed mind,575.1
128,2556,2023-05-26,Changed mind,592.2
129,2634,2023-06-02,Changed mind,767.79
130,2468,2023-06-05,Wrong item,4389.6
131,2736,2023-06-10,Wrong item,233.1
132,2681,2023-06-10,Defective,1646.1
133,2544,2023-06-11,Defective,296.1
134,2680,2023-06-11,Not as described,9118.0
135,2823,2023-06-14,Size/fit issue,197.1
136,2878,2023-06-15,Late delivery,209.0
137,2872,2023-06-16,Defective,509.0
138,2737,2023-06-18,Wrong item,1690.05
139,2999,2023-06-22,Changed mind,930.69
140,2735,2023-06-24,Wrong item,1728.3
141,3040,2023-06-24,Changed mind,404.1
142,2973,2023-06-24,Wrong item,359.2
143,2721,2023-06-25,Changed mind,661.68
144,2847,2023-06-27,Defective,449.0
145,2971,2023-06-27,Wrong item,359.2
146,2925,2023-06-28,Defective,898.0
147,2763,2023-06-28,Not as described,369.0
148,3092,2023-06-29,Size/fit issue,170.05
149,2760,2023-06-29,Changed mind,930.69
150,2984,2023-06-30,Defective,7569.0
151,2846,2023-06-30,Defective,966.15
152,3070,2023-07-01,Not as described,350.55
153,3020,2023-07-01,Changed mind,2962.98
154,3023,2023-07-04,Changed mind,368.1
155,2959,2023-07-05,Defective,431.1
156,2907,2023-07-08,Defective,458.1
157,3219,2023-07-09,Size/fit issue,789.0
158,2990,2023-07-09,Size/fit issue,233.1
159,3080,2023-07-12,Size/fit issue,658.0
160,3071,2023-07-13,Changed mind,800.1
161,3247,2023-07-17,Defective,197.1
162,3282,2023-07-18,Late delivery,459.0
163,3331,2023-07-20,Size/fit issue,431.1
164,3120,2023-07-22,Not as described,426.55
165,3117,2023-07-24,Not as described,219.0
166,3396,2023-07-24,Wrong item,939.0
167,3357,2023-07-25,Changed mind,404.1
168,3328,2023-07-26,Defective,449.0
169,3345,2023-07-26,Changed mind,827.1
170,3134,2023-07-26,Not as described,296.1
171,3257,2023-07-27,Changed mind,1286.1
172,3205,2023-07-28,Size/fit issue,247.2
173,3341,2023-07-28,Defective,233.1
174,3317,2023-07-31,Size/fit issue,426.55
175,3500,2023-08-02,Changed mind,1091.07
176,3511,2023-08-03,Wrong item,217.55
177,3459,2023-08-03,Size/fit issue,1348.05
178,3417,2023-08-08,Not as described,449.0
179,3401,2023-08-10,Not as described,179.0
180,3661,2023-08-11,Late delivery,658.0
181,3613,2023-08-12,Defective,229.0
182,3433,2023-08-13,Size/fit issue,449.0
183,3571,2023-08-14,Size/fit issue,449.0
184,3551,2023-08-14,Defective,939.55
185,3699,2023-08-14,Wrong item,372.3
186,3769,2023-08-20,Defective,865.3
187,3625,2023-08-21,Defective,449.0
188,3732,2023-08-25,Size/fit issue,359.1
189,3697,2023-08-26,Size/fit issue,390.15
190,3706,2023-08-30,Not as described,1149.0
191,3726,2023-08-30,Defective,416.1
192,3710,2023-08-31,Wrong item,296.1
193,3762,2023-09-01,Defective,426.55
194,3676,2023-09-02,Defective,3189.0
195,3874,2023-09-02,Size/fit issue,12398.0
196,3893,2023-09-05,Size/fit issue,219.0
197,3738,2023-09-05,Defective,1091.55
198,4097,2023-09-05,Size/fit issue,153.3
199,4137,2023-09-06,Late delivery,763.3
200,4044,2023-09-06,Size/fit issue,197.1
201,3833,2023-09-08,Defective,476.1
202,4005,2023-09-08,Defective,404.1
203,4007,2023-09-09,Late delivery,449.0
204,3953,2023-09-11,Changed mind,323.28
205,4217,2023-09-12,Size/fit issue,329.0
206,3804,2023-09-13,Defective,413.1
207,3825,2023-09-14,Late delivery,418.0
208,4032,2023-09-14,Defective,314.3
209,4055,2023-09-15,Not as described,110409.0
210,3950,2023-09-16,Wrong item,399.0
211,4101,2023-09-17,Defective,1735.2
212,4341,2023-09-18,Not as described,1654.2
213,4072,2023-09-20,Not as described,381.65
214,4096,2023-09-21,Wrong item,778.0
215,4391,2023-09-21,Defective,11158.2
216,4408,2023-09-22,Defective,2029.0
217,4327,2023-09-22,Defective,1077.3
218,4392,2023-09-23,Size/fit issue,449.0
219,4057,2023-09-25,Not as described,287.1
220,4454,2023-09-26,Wrong item,198.55
221,4056,2023-09-26,Defective,1772.1
222,4383,2023-10-02,Size/fit issue,898.0
223,4144,2023-10-03,Changed mind,962.01
224,4244,2023-10-03,Size/fit issue,2209.0
225,4582,2023-10-03,Wrong item,426.55
226,4263,2023-10-04,Wrong item,359.2
227,4325,2023-10-05,Not as described,1279.65
228,4372,2023-10-06,Defective,381.65
229,4406,2023-10-06,Size/fit issue,389.0
230,4353,2023-10-06,Defective,449.0
231,4689,2023-10-07,Defective,4701.55
232,4269,2023-10-07,Defective,349.0
233,4666,2023-10-07,Not as described,1529.0
234,4498,2023-10-09,Defective,449.0
235,4744,2023-10-12,Size/fit issue,208.05
236,4651,2023-10-12,Not as described,1419.0
237,4794,2023-10-13,Late delivery,404.1
238,4479,2023-10-14,Not as described,998.1
239,4517,2023-10-15,Defective,867.0
240,4802,2023-10-15,Late delivery,958.0
241,4722,2023-10-16,Size/fit issue,4338.0
242,4583,2023-10-16,Defective,1055.2
243,4853,2023-10-17,Changed mind,178.7
244,4528,2023-10-17,Not as described,1304.1
245,4564,2023-10-17,Changed mind,1574.1
246,4505,2023-10-18,Changed mind,1034.1
247,4751,2023-10-18,Changed mind,383.9
248,4604,2023-10-19,Not as described,219.0
249,4720,2023-10-19,Not as described,219.0
250,4545,2023-10-20,Defective,976.65
251,4650,2023-10-21,Changed mind,597.64
252,4795,2023-10-22,Wrong item,186.15
253,4742,2023-10-22,Defective,989.0
254,4543,2023-10-25,Not as described,898.0
255,4745,2023-10-26,Size/fit issue,1780.2
256,4676,2023-10-26,Size/fit issue,188.1
257,5005,2023-10-26,Wrong item,1291.05
258,4811,2023-10-26,Not as described,175.2
259,4587,2023-10-28,Not as described,217.55
260,4954,2023-10-29,Not as described,449.0
261,4941,2023-10-29,Size/fit issue,609.0
262,4983,2023-10-30,Defective,1646.1
263,5026,2023-10-31,Late delivery,449.0
264,4823,2023-11-01,Changed mind,323.28
265,4885,2023-11-03,Not as described,233.1
266,5044,2023-11-03,Defective,219.0
267,5142,2023-11-04,Late delivery,330.65
268,4835,2023-11-06,Size/fit issue,388.55
269,4784,2023-11-07,Wrong item,2022.3
270,4779,2023-11-07,Changed mind,986.58
271,5004,2023-11-07,Wrong item,808.2
272,4880,2023-11-09,Defective,658.0
273,5143,2023-11-09,Size/fit issue,404.1
274,4832,2023-11-10,Changed mind,257.67
275,4840,2023-11-10,Wrong item,431.1
276,4898,2023-11-11,Defective,381.65
277,5296,2023-11-12,Size/fit issue,1359.0
278,5161,2023-11-12,Size/fit issue,825.55
279,5116,2023-11-12,Changed mind,282.87
280,5316,2023-11-14,Defective,4679.1
281,5256,2023-11-15,Size/fit issue,449.0
282,5062,2023-11-15,Size/fit issue,381.65
283,5436,2023-11-16,Wrong item,1149.0
284,5099,2023-11-18,Size/fit issue,2247.0
285,5412,2023-11-18,Defective,349.0
286,5110,2023-11-18,Size/fit issue,289.0
287,5212,2023-11-19,Wrong item,808.2
288,5435,2023-11-19,Size/fit issue,4587.0
289,5448,2023-11-19,Defective,208.05
290,5227,2023-11-21,Not as described,2345.55
291,5204,2023-11-21,Not as described,869.0
292,5551,2023-11-23,Changed mind,1157.94
293,5492,2023-11-24,Defective,404.1
294,5365,2023-11-25,Size/fit issue,426.55
295,5319,2023-11-26,Changed mind,3085.29
296,5263,2023-11-27,Changed mind,404.1
297,5668,2023-11-27,Size/fit issue,449.0
298,5444,2023-11-28,Not as described,1144.95
299,5583,2023-11-28,Size/fit issue,449.0
300,5381,2023-11-28,Not as described,394.2
301,5226,2023-11-28,Not as described,2298.0
302,5515,2023-11-29,Size/fit issue,657.0
303,5222,2023-11-30,Defective,179.0
304,5700,2023-11-30,Defective,449.0
305,5595,2023-12-04,Size/fit issue,449.0
306,5499,2023-12-04,Defective,449.0
307,5837,2023-12-05,Size/fit issue,186.15
308,5451,2023-12-06,Changed mind,323.28
309,5909,2023-12-06,Size/fit issue,219.0
310,5566,2023-12-07,Defective,449.0
311,5860,2023-12-07,Size/fit issue,1015.2
312,5348,2023-12-07,Changed mind,266.49
313,5713,2023-12-09,Defective,207.2
314,5685,2023-12-10,Changed mind,404.1
315,5756,2023-12-11,Not as described,426.55
316,5867,2023-12-11,Not as described,208.05
317,5620,2023-12-12,Not as described,838.0
318,5613,2023-12-12,Wrong item,994.65
319,6060,2023-12-13,Size/fit issue,449.0
320,5565,2023-12-13,Size/fit issue,909.0
321,5961,2023-12-13,Size/fit issue,359.2
322,5895,2023-12-15,Size/fit issue,1578.0
323,5567,2023-12-15,Size/fit issue,2069.0
324,5678,2023-12-18,Defective,279.2
325,5681,2023-12-18,Defective,3010.55
326,5784,2023-12-19,Size/fit issue,404.1
327,5733,2023-12-20,Size/fit issue,2068.2
328,5722,2023-12-21,Not as described,219.0
329,5866,2023-12-22,Not as described,215.1
330,6258,2023-12-22,Wrong item,449.0
331,6320,2023-12-25,Late delivery,167.2
332,6345,2023-12-26,Size/fit issue,426.55
333,5946,2023-12-28,Late delivery,231.2
334,5863,2023-12-29,Not as described,449.0
335,6124,2023-12-29,Size/fit issue,217.55
336,6342,2023-12-30,Size/fit issue,314.3
337,6322,2023-12-30,Defective,219.0
338,6106,2023-12-31,Wrong item,219.0
339,6214,2023-12-31,Changed mind,686.97
340,5931,2023-12-31,Defective,1149.0
341,6292,2023-12-31,Defective,449.0
342,6084,2024-01-01,Late delivery,1678.0
343,6070,2024-01-02,Size/fit issue,449.0
344,6527,2024-01-03,Size/fit issue,381.65
345,6052,2024-01-04,Changed mind,628.2
346,6271,2024-01-04,Size/fit issue,449.0
347,5964,2024-01-04,Wrong item,572.6
348,6234,2024-01-06,Defective,658.0
349,6659,2024-01-06,Wrong item,186.15
350,6361,2024-01-06,Late delivery,227.05
351,6121,2024-01-06,Size/fit issue,259.0
352,6171,2024-01-08,Defective,11899.0
353,6276,2024-01-09,Size/fit issue,381.65
354,6263,2024-01-10,Not as described,449.0
355,6670,2024-01-10,Size/fit issue,1418.0
356,6538,2024-01-11,Wrong item,99368.1
357,6351,2024-01-12,Defective,413.1
358,6533,2024-01-13,Defective,220.15
359,6408,2024-01-13,Size/fit issue,449.0
360,6520,2024-01-15,Late delivery,381.65
361,6335,2024-01-15,Size/fit issue,1299.65
362,6660,2024-01-16,Defective,107.1
363,6779,2024-01-16,Not as described,359.2
364,6646,2024-01-16,Not as described,719.0
365,6931,2024-01-17,Defective,449.0
366,6673,2024-01-18,Changed mind,323.28
367,6526,2024-01-18,Size/fit issue,99368.1
368,6611,2024-01-18,Defective,289.0
369,6596,2024-01-19,Wrong item,449.0
370,6300,2024-01-19,Changed mind,413.1
371,6426,2024-01-20,Changed mind,775.17
372,6529,2024-01-20,Wrong item,436.05
373,6569,2024-01-20,Changed mind,930.69
374,6879,2024-01-23,Changed mind,188.1
375,6748,2024-01-23,Not as described,719.0
376,6458,2024-01-24,Changed mind,1258.2
377,6914,2024-01-24,Not as described,449.0
378,6662,2024-01-24,Late delivery,449.0
379,6632,2024-01-25,Not as described,404.1
380,6730,2024-01-25,Not as described,289.0
381,6532,2024-01-27,Wrong item,1053.55
382,6897,2024-01-27,Late delivery,186.15
383,6956,2024-01-27,Defective,449.0
384,7183,2024-01-28,Size/fit issue,426.55
385,6756,2024-01-28,Defective,781.15
386,6857,2024-01-29,Defective,1109.0
387,7250,2024-01-30,Changed mind,404.1
388,6761,2024-01-31,Defective,1529.0
389,6899,2024-01-31,Size/fit issue,1500.05
390,7212,2024-02-01,Changed mind,197.1
391,7135,2024-02-03,Changed mind,197.1
392,7048,2024-02-03,Not as described,1359.0
393,7211,2024-02-05,Defective,1737.55
394,7234,2024-02-07,Not as described,764.1
395,6925,2024-02-07,Size/fit issue,219.0
396,7272,2024-02-08,Not as described,438.0
397,7052,2024-02-09,Size/fit issue,404.1
398,7244,2024-02-12,Not as described,15978.0
399,7266,2024-02-12,Size/fit issue,4619.0
400,7073,2024-02-14,Changed mind,1052.1
401,7242,2024-02-14,Wrong item,426.55
402,7253,2024-02-14,Defective,21546.65
403,7098,2024-02-16,Late delivery,898.0
404,7481,2024-02-18,Wrong item,5070.4
405,7100,2024-02-18,Wrong item,1829.0
406,7556,2024-02-20,Defective,789.0
407,7822,2024-02-21,Wrong item,873.05
408,7745,2024-02-21,Defective,404.1
409,7271,2024-02-21,Size/fit issue,208.05
410,7683,2024-02-21,Size/fit issue,829.0
411,7332,2024-02-24,Not as described,709.0
412,7678,2024-02-24,Size/fit issue,518.0
413,7395,2024-02-24,Late delivery,186.15
414,7736,2024-02-25,Defective,1018.0
415,7295,2024-02-26,Size/fit issue,449.0
416,7385,2024-02-26,Wrong item,314.3
417,7814,2024-02-28,Changed mind,404.1
418,7550,2024-02-29,Not as described,404.1
419,7727,2024-03-01,Size/fit issue,394.2
420,7486,2024-03-01,Defective,229.0
421,7937,2024-03-02,Late delivery,1149.0
422,7953,2024-03-02,Changed mind,266.49
423,7493,2024-03-02,Not as described,357.0
424,7594,2024-03-03,Changed mind,1034.1
425,7899,2024-03-03,Changed mind,458.1
426,7588,2024-03-03,Defective,230.3
427,7603,2024-03-05,Size/fit issue,479.0
428,7684,2024-03-05,Size/fit issue,295.2
429,8058,2024-03-07,Late delivery,350.4
430,8148,2024-03-08,Wrong item,2399.0
431,7929,2024-03-08,Changed mind,278.1
432,7816,2024-03-09,Size/fit issue,976.65
433,7922,2024-03-11,Late delivery,663.1
434,8256,2024-03-12,Late delivery,4619.0
435,8121,2024-03-12,Not as described,449.0
436,8214,2024-03-12,Defective,219.0
437,8303,2024-03-14,Changed mind,1999.89
438,8183,2024-03-14,Size/fit issue,1269.0
439,8138,2024-03-15,Changed mind,671.49
440,8254,2024-03-16,Not as described,314.1
441,7912,2024-03-17,Size/fit issue,865.3
442,8101,2024-03-19,Changed mind,686.97
443,7918,2024-03-19,Not as described,1452.55
444,8403,2024-03-19,Changed mind,1304.1
445,8184,2024-03-20,Defective,314.3
446,8406,2024-03-21,Size/fit issue,426.55
447,8204,2024-03-22,Size/fit issue,381.65
448,8048,2024-03-22,Wrong item,398.05
449,8333,2024-03-22,Not as described,449.0
450,8106,2024-03-23,Defective,388.55
451,8553,2024-03-24,Size/fit issue,404.1
452,8343,2024-03-24,Defective,219.0
453,8570,2024-03-25,Wrong item,1034.1
454,8670,2024-03-26,Changed mind,368.1
455,8097,2024-03-28,Not as described,459.0
456,8383,2024-03-28,Late delivery,719.0
457,8475,2024-03-30,Wrong item,718.4
458,8248,2024-03-31,Defective,478.0
459,8571,2024-03-31,Size/fit issue,188.1
460,8418,2024-03-31,Defective,339.0
461,8440,2024-04-01,Size/fit issue,674.1
462,8608,2024-04-02,Changed mind,177.39
463,8314,2024-04-03,Changed mind,827.1
464,8577,2024-04-03,Changed mind,808.2
465,8362,2024-04-03,Changed mind,808.2
466,8576,2024-04-04,Changed mind,187.24
467,8337,2024-04-04,Size/fit issue,321.3
468,8773,2024-04-06,Wrong item,349.0
469,8788,2024-04-06,Wrong item,219.0
470,8431,2024-04-06,Defective,58994.1
471,8704,2024-04-11,Wrong item,449.0
472,8580,2024-04-11,Not as described,449.0
473,8535,2024-04-11,Wrong item,449.0
474,8551,2024-04-12,Size/fit issue,449.0
475,8635,2024-04-13,Not as described,558.45
476,8854,2024-04-14,Changed mind,4008.69
477,9017,2024-04-14,Defective,449.0
478,8777,2024-04-15,Wrong item,188.1
479,8972,2024-04-15,Changed mind,161.1
480,8573,2024-04-15,Defective,1169.1
481,8549,2024-04-17,Wrong item,381.65
482,8754,2024-04-17,Not as described,369.0
483,9099,2024-04-17,Size/fit issue,245.65
484,8567,2024-04-17,Defective,657.0
485,8820,2024-04-17,Defective,755.1
486,8737,2024-04-18,Not as described,808.2
487,9138,2024-04-22,Not as described,376.2
488,8855,2024-04-23,Not as described,309.0
489,9032,2024-04-23,Wrong item,699.0
490,9216,2024-04-23,Defective,939.0
491,8882,2024-04-24,Defective,1838.4
492,9429,2024-04-25,Changed mind,2737.17
493,8802,2024-04-26,Changed mind,363.69
494,9452,2024-04-26,Defective,331.55
495,9320,2024-04-27,Changed mind,452.79
496,9263,2024-04-27,Changed mind,296.1
497,9331,2024-04-28,Wrong item,1149.0
498,9606,2024-04-29,Size/fit issue,312.55
499,9546,2024-04-29,Defective,1277.1
500,9476,2024-04-29,Defective,314.3
501,9483,2024-04-30,Defective,610.2
502,9246,2024-04-30,Not as described,645.15
503,9567,2024-05-01,Wrong item,958.0
504,9179,2024-05-02,Not as described,175.2
505,9044,2024-05-02,Size/fit issue,1300.55
506,9579,2024-05-03,Late delivery,449.0
507,9398,2024-05-04,Not as described,95.2
508,9069,2024-05-04,Size/fit issue,489.3
509,9090,2024-05-05,Changed mind,221.45
510,9838,2024-05-05,Defective,449.0
511,9689,2024-05-05,Size/fit issue,692.3
512,9572,2024-05-05,Defective,447.2
513,9853,2024-05-06,Size/fit issue,1889.1
514,9276,2024-05-08,Defective,9031.65
515,9166,2024-05-09,Not as described,818.0
516,9732,2024-05-10,Not as described,449.0
517,9360,2024-05-10,Changed mind,7091.1
518,9945,2024-05-11,Late delivery,898.0
519,9857,2024-05-11,Defective,312.55
520,9917,2024-05-11,Size/fit issue,404.1
521,9817,2024-05-12,Late delivery,1240.15
522,9625,2024-05-12,Defective,208.05
523,9922,2024-05-12,Not as described,1376.55
524,9744,2024-05-13,Size/fit issue,998.1
525,10004,2024-05-13,Defective,683.05
526,9783,2024-05-13,Size/fit issue,689.0
527,10183,2024-05-16,Defective,5432.1
528,9809,2024-05-16,Size/fit issue,865.3
529,9650,2024-05-16,Late delivery,919.0
530,9970,2024-05-17,Defective,426.55
531,9901,2024-05-17,Changed mind,801.09
532,10095,2024-05-18,Size/fit issue,1529.0
533,10054,2024-05-18,Wrong item,183.2
534,9723,2024-05-19,Not as described,1078.65
535,9509,2024-05-19,Changed mind,566.19
536,10244,2024-05-20,Size/fit issue,711.55
537,10130,2024-05-20,Not as described,246.05
538,9863,2024-05-20,Defective,186.15
539,9934,2024-05-21,Not as described,1149.0
540,10306,2024-05-22,Not as described,219.0
541,10218,2024-05-23,Wrong item,1104.3
542,9965,2024-05-24,Not as described,71978.0
543,10114,2024-05-24,Defective,314.1
544,9831,2024-05-24,Defective,219.0
545,10254,2024-05-25,Not as described,431.1
546,10165,2024-05-26,Defective,2870.1
547,9967,2024-05-27,Size/fit issue,219.0
548,10609,2024-05-28,Size/fit issue,409.0
549,10294,2024-05-28,Size/fit issue,1347.0
550,10562,2024-05-28,Late delivery,483.55
551,9801,2024-05-28,Not as described,219.0
552,9808,2024-05-29,Changed mind,8908.2
553,10692,2024-05-30,Size/fit issue,853.1
554,10407,2024-05-30,Not as described,381.65
555,10641,2024-05-31,Changed mind,2483.1
556,10642,2024-05-31,Not as described,2573.1
557,10080,2024-06-01,Not as described,898.0
558,10617,2024-06-01,Size/fit issue,350.55
559,10381,2024-06-01,Size/fit issue,219.0
560,9989,2024-06-01,Size/fit issue,449.0
561,10267,2024-06-02,Size/fit issue,219.0
562,10517,2024-06-04,Late delivery,758.1
563,10205,2024-06-04,Wrong item,1779.0
564,10245,2024-06-04,Changed mind,394.2
565,10372,2024-06-05,Size/fit issue,455.05
566,10483,2024-06-06,Size/fit issue,359.2
567,10523,2024-06-06,Defective,381.65
568,10283,2024-06-07,Defective,329.0
569,10580,2024-06-09,Not as described,898.0
570,10428,2024-06-09,Size/fit issue,593.3
571,10939,2024-06-10,Defective,407.55
572,10427,2024-06-10,Size/fit issue,3938.0
573,10500,2024-06-10,Defective,898.0
574,10404,2024-06-11,Wrong item,219.0
575,10568,2024-06-12,Changed mind,404.1
576,10700,2024-06-12,Defective,381.65
577,10813,2024-06-15,Size/fit issue,449.0
578,11076,2024-06-15,Changed mind,1096.2
579,10781,2024-06-16,Not as described,329.0
580,10475,2024-06-17,Defective,5518.0
581,10423,2024-06-18,Changed mind,808.2
582,11244,2024-06-19,Late delivery,429.0
583,10968,2024-06-19,Not as described,449.0
584,10622,2024-06-20,Not as described,858.0
585,11386,2024-06-21,Wrong item,673.55
586,10882,2024-06-21,Changed mind,930.69
587,11227,2024-06-22,Size/fit issue,175.2
588,11014,2024-06-22,Defective,289.0
589,10632,2024-06-23,Defective,438.0
590,11331,2024-06-23,Size/fit issue,1191.2
591,10638,2024-06-23,Wrong item,47607.0
592,10946,2024-06-24,Size/fit issue,175.2
593,11288,2024-06-24,Defective,263.2
594,10962,2024-06-24,Not as described,426.55
595,11136,2024-06-24,Size/fit issue,476.1
596,11035,2024-06-25,Size/fit issue,83.3
597,11034,2024-06-26,Late delivery,312.55
598,10877,2024-06-26,Defective,6999.0
599,10999,2024-06-26,Size/fit issue,449.0
600,11102,2024-06-26,Not as described,449.0
601,10863,2024-06-27,Wrong item,1359.0
602,10859,2024-06-27,Not as described,763.3
603,10952,2024-06-27,Changed mind,343.48
604,10955,2024-06-27,Changed mind,363.69
605,11340,2024-06-27,Not as described,658.0
606,11268,2024-06-27,Not as described,426.55
607,10900,2024-06-27,Changed mind,383.9
608,11680,2024-06-28,Size/fit issue,808.2
609,11142,2024-06-28,Changed mind,394.2
610,11122,2024-06-29,Size/fit issue,329.0
611,10848,2024-06-30,Size/fit issue,3189.0
612,11070,2024-06-30,Wrong item,449.0
613,11389,2024-06-30,Not as described,449.0
614,11210,2024-07-01,Not as described,131098.0
615,11001,2024-07-01,Not as described,438.0
616,11118,2024-07-01,Changed mind,1024.29
617,11298,2024-07-04,Size/fit issue,455.05
618,11195,2024-07-05,Defective,381.65
619,11430,2024-07-07,Changed mind,197.1
620,12015,2024-07-07,Size/fit issue,1212.3
621,11903,2024-07-07,Wrong item,898.0
622,11980,2024-07-07,Size/fit issue,438.0
623,12108,2024-07-08,Size/fit issue,449.0
624,11934,2024-07-08,Size/fit issue,332.1
625,11656,2024-07-08,Not as described,186.15
626,12063,2024-07-09,Not as described,2029.0
627,11695,2024-07-09,Size/fit issue,517.65
628,11591,2024-07-10,Defective,6378.0
629,11792,2024-07-10,Not as described,209.0
630,11776,2024-07-10,Defective,575.1
631,11764,2024-07-11,Size/fit issue,898.0
632,11479,2024-07-11,Not as described,381.65
633,11561,2024-07-11,Defective,2207.2
