product_id,product_name,category,sub_category,brand,unit_price,cost_price,launch_date,is_active
37,Pixel Men Clothing 288,Fashion,Men Clothing,Raven,999,638.99,2022-05-07,1
38,Umbra Men Clothing 799,Fashion,Men Clothing,Raven,2469,1684.97,2021-12-30,1
39,Tundra Men Clothing 965,Fashion,Men Clothing,Kraft,939,727.95,2022-01-02,1
40,Pixel Men Clothing 362,Fashion,Men Clothing,Aero,3849,2256.66,2021-09-29,1
41,Orbit Men Clothing 638,Fashion,Men Clothing,Pixel,1799,1159.03,2020-09-27,1
42,Zenith Women Clothing 293,Fashion,Women Clothing,Raven,529,296.89,2024-05-25,0
43,Raven Women Clothing 713,Fashion,Women Clothing,Vista,1439,885.79,2024-02-13,1
44,Sable Women Clothing 899,Fashion,Women Clothing,Tundra,3189,2316.31,2023-07-03,1
45,Ember Women Clothing 899,Fashion,Women Clothing,Nova,1419,814.48,2020-11-17,1
46,Sable Women Clothing 153,Fashion,Women Clothing,Orbit,4699,2528.67,2024-10-06,1
47,Vista Women Clothing 797,Fashion,Women Clothing,Zenith,4559,3804.32,2025-01-21,1
48,Nimbus Women Clothing 516,Fashion,Women Clothing,Umbra,1789,959.68,2020-07-29,1
49,Quanta Women Clothing 947,Fashion,Women Clothing,Quanta,689,334.28,2021-03-30,1
50,Zenith Footwear 484,Fashion,Footwear,Ember,919,519.85,2021-10-04,1
51,Raven Footwear 775,Fashion,Footwear,Quanta,3809,1920.92,2021-06-08,1
52,Zenith Footwear 478,Fashion,Footwear,Orbit,3689,2663.45,2024-04-30,0
53,Pixel Footwear 901,Fashion,Footwear,Raven,1089,660.25,2024-01-31,1
54,Cobalt Footwear 386,Fashion,Footwear,Kraft,759,485.01,2022-04-30,1
55,Sable Footwear 769,Fashion,Footwear,Nova,909,491.04,2021-05-26,1
56,Sable Footwear 283,Fashion,Footwear,Pixel,4849,3327.27,2020-11-23,1
57,Ember Footwear 320,Fashion,Footwear,Kraft,2029,1260.81,2025-01-31,1
58,Orbit Accessories 949,Fashion,Accessories,Kraft,1319,851.72,2023-02-06,1
59,Umbra Accessories 919,Fashion,Accessories,Raven,1429,758.32,2025-05-15,1
60,Zenith Accessories 656,Fashion,Accessories,Lumen,449,246.66,2021-03-23,1
61,Tundra Accessories 966,Fashion,Accessories,Sable,639,511.98,2021-06-12,1
62,Quanta Accessories 314,Fashion,Accessories,Kraft,219,170.96,2024-02-20,0
63,Pixel Accessories 544,Fashion,Accessories,Vista,509,361.52,2023-05-15,1
64,Ember Accessories 200,Fashion,Accessories,Tundra,339,279.59,2021-01-07,1
65,Aero Accessories 806,Fashion,Accessories,Quanta,289,172.51,2023-03-20,0
66,Orbit Accessories 744,Fashion,Accessories,Zenith,1569,872.75,2021-06-08,1
67,Nimbus Cookware 782,Home & Kitchen,Cookware,Lumen,719,431.87,2024-07-31,1
68,Umbra Cookware 415,Home & Kitchen,Cookware,Vista,929,685.31,2024-11-14,1
69,Tundra Cookware 470,Home & Kitchen,Cookware,Vista,1289,750.36,2022-02-04,1
70,Raven Cookware 161,Home & Kitchen,Cookware,Cobalt,889,473.24,2022-09-30,1
71,Quanta Cookware 388,Home & Kitchen,Cookware,Nova,849,456.72,2021-12-08,1
72,Kraft Cookware 618,Home & Kitchen,Cookware,Cobalt,2399,1450.97,2021-06-08,1
73,Tundra Cookware 857,Home & Kitchen,Cookware,Nimbus,1829,1405.73,2023-07-15,1
74,Quanta Cookware 209,Home & Kitchen,Cookware,Orbit,1359,1051.53,2023-08-01,1
75,Raven Furniture 558,Home & Kitchen,Furniture,Raven,3009,2397.98,2023-12-19,1
76,Quanta Furniture 983,Home & Kitchen,Furniture,Nova,3659,3064.86,2025-05-16,1
77,Vista Furniture 168,Home & Kitchen,Furniture,Orbit,24179,11770.3,2021-05-25,1
78,Raven Furniture 683,Home & Kitchen,Furniture,Sable,35989,27608.4,2022-07-11,1
79,Tundra Furniture 665,Home & Kitchen,Furniture,Orbit,7879,5567.44,2022-10-20,1
80,Pixel Furniture 473,Home & Kitchen,Furniture,Umbra,7989,6486.28,2023-01-22,1
81,Vista Furniture 654,Home & Kitchen,Furniture,Orbit,25349,16235.55,2020-01-25,1
82,Quanta Furniture 310,Home & Kitchen,Furniture,Zenith,3139,2200.29,2023-11-25,1
83,Vista Decor 409,Home & Kitchen,Decor,Tundra,699,575.26,2021-05-17,1
84,Raven Decor 368,Home & Kitchen,Decor,Sable,3789,1893.02,2021-11-18,1
85,Pixel Decor 239,Home & Kitchen,Decor,Cobalt,2099,1168.63,2024-03-23,1
86,Kraft Decor 657,Home & Kitchen,Decor,Cobalt,1709,947.49,2024-06-05,1
87,Ember Decor 805,Home & Kitchen,Decor,Cobalt,349,209.49,2021-05-03,1
88,Kraft Decor 303,Home & Kitchen,Decor,Pixel,4359,2567.09,2024-02-25,1
89,Nova Decor 967,Home & Kitchen,Decor,Vista,219,111.94,2020-06-23,1
90,Nimbus Decor 866,Home & Kitchen,Decor,Raven,269,210.42,2023-12-22,1
91,Orbit Decor 259,Home & Kitchen,Decor,Cobalt,1479,1062.76,2021-03-20,0
92,Cobalt Appliances 768,Home & Kitchen,Appliances,Raven,5199,3233.99,2025-01-11,1
93,Vista Appliances 941,Home & Kitchen,Appliances,Nova,2169,1766.5,2021-04-06,1
94,Raven Appliances 301,Home & Kitchen,Appliances,Quanta,1579,930.79,2022-09-12,1
95,Tundra Appliances 205,Home & Kitchen,Appliances,Quanta,6949,4208.17,2023-06-04,1
96,Nimbus Appliances 986,Home & Kitchen,Appliances,Sable,13699,8174.2,2023-02-27,1
97,Sable Appliances 505,Home & Kitchen,Appliances,Ember,4659,2557.47,2020-03-01,1
98,Sable Appliances 143,Home & Kitchen,Appliances,Pixel,20419,15656.91,2025-05-13,0
99,Tundra Fiction 728,Books,Fiction,Nimbus,749,573.23,2024-09-06,1
100,Pixel Fiction 828,Books,Fiction,Cobalt,509,291.07,2024-06-02,1
101,Nimbus Fiction 501,Books,Fiction,Orbit,609,382.55,2025-02-13,1
102,Zenith Fiction 155,Books,Fiction,Tundra,219,152.71,2022-11-06,1
103,Aero Fiction 978,Books,Fiction,Nova,209,101.36,2022-08-31,1
104,Ember Fiction 299,Books,Fiction,Raven,219,101.85,2024-02-09,1
105,Pixel Fiction 817,Books,Fiction,Umbra,599,421.11,2023-01-18,0
106,Vista Fiction 600,Books,Fiction,Tundra,239,163.27,2022-03-16,1
107,Pixel Fiction 299,Books,Fiction,Raven,179,110.08,2022-01-25,1
108,Cobalt Non-Fiction 217,Books,Non-Fiction,Sable,869,486.02,2020-10-28,1
109,Ember Non-Fiction 826,Books,Non-Fiction,Tundra,1149,755.96,2021-11-27,1
110,Lumen Non-Fiction 193,Books,Non-Fiction,Quanta,589,285.3,2021-11-28,1
111,Nimbus Non-Fiction 753,Books,Non-Fiction,Nova,409,234.67,2025-01-15,1
112,Kraft Non-Fiction 703,Books,Non-Fiction,Lumen,369,177.11,2022-09-26,0
113,Orbit Non-Fiction 762,Books,Non-Fiction,Raven,699,536.75,2020-08-07,1
114,Vista Non-Fiction 400,Books,Non-Fiction,Sable,229,163.12,2023-12-31,1
115,Ember Non-Fiction 475,Books,Non-Fiction,Nimbus,329,199.38,2022-02-02,1
116,Tundra Non-Fiction 192,Books,Non-Fiction,Zenith,449,225.24,2021-08-03,1
117,Aero Technical 927,Books,Technical,Nova,1369,804.92,2021-01-20,1
118,Orbit Technical 516,Books,Technical,Orbit,1649,857.42,2024-10-03,1
119,Pixel Technical 479,Books,Technical,Umbra,2159,1336.34,2022-07-05,1
120,Kraft Technical 192,Books,Technical,Vista,989,453.1,2025-06-19,1
121,Orbit Technical 845,Books,Technical,Ember,759,608.06,2020-09-19,1
122,Kraft Technical 435,Books,Technical,Zenith,609,432.36,2021-11-02,1
123,Kraft Technical 597,Books,Technical,Nova,2209,1166.1,2022-11-08,1
124,Kraft Technical 450,Books,Technical,Raven,459,259.37,2021-08-04,1
125,Ember Technical 340,Books,Technical,Nimbus,1749,801.84,2022-03-14,1
126,Nova Children 843,Books,Children,Nova,259,212.57,2022-02-12,1
127,Kraft Children 912,Books,Children,Cobalt,459,384.19,2023-06-07,1
128,Ember Children 109,Books,Children,Tundra,349,236.12,2021-07-03,1
129,Tundra Children 620,Books,Children,Umbra,549,422.56,2024-09-07,1
130,Aero Children 530,Books,Children,Tundra,119,91.03,2022-08-30,1
131,Quanta Children 959,Books,Children,Zenith,429,328.91,2023-01-14,1
132,Zenith Children 527,Books,Children,Raven,309,240.1,2025-04-03,1
133,Pixel Skincare 886,Beauty,Skincare,Sable,739,609.34,2020-02-26,1
134,Umbra Skincare 707,Beauty,Skincare,Nova,1449,1087.64,2020-11-30,1
135,Pixel Skincare 865,Beauty,Skincare,Tundra,209,134.5,2023-12-11,1
136,Orbit Skincare 899,Beauty,Skincare,Raven,1299,949.23,2023-12-29,1
137,Cobalt Skincare 102,Beauty,Skincare,Umbra,2069,1574.93,2021-03-15,1
138,Zenith Skincare 373,Beauty,Skincare,Umbra,419,199.19,2025-05-24,1
139,Nova Skincare 222,Beauty,Skincare,Nimbus,1539,1140.24,2020-11-16,1
140,Cobalt Haircare 220,Beauty,Haircare,Tundra,479,317.01,2024-03-14,1
141,Vista Haircare 738,Beauty,Haircare,Orbit,409,264.41,2020-03-12,1
142,Raven Haircare 339,Beauty,Haircare,Nimbus,1039,600.47,2021-04-12,1
143,Tundra Haircare 715,Beauty,Haircare,Nova,259,160.22,2021-10-25,1
144,Sable Haircare 730,Beauty,Haircare,Quanta,399,300.34,2023-08-05,1
145,Lumen Haircare 280,Beauty,Haircare,Cobalt,389,310.89,2022-05-23,1
146,Umbra Haircare 698,Beauty,Haircare,Lumen,259,211.47,2023-02-23,0
147,Nimbus Haircare 752,Beauty,Haircare,Quanta,1459,877.54,2024-03-31,1
148,Zenith Fragrance 682,Beauty,Fragrance,Orbit,3169,1712.69,2020-08-24,1
149,Lumen Fragrance 843,Beauty,Fragrance,Aero,709,531.0,2022-09-08,1
150,Tundra Fragrance 591,Beauty,Fragrance,Zenith,1489,764.06,2025-01-16,1
151,Lumen Fragrance 943,Beauty,Fragrance,Cobalt,889,546.57,2021-12-31,0
152,Quanta Fragrance 325,Beauty,Fragrance,Sable,5909,3450.78,2020-01-24,1
153,Aero Fragrance 686,Beauty,Fragrance,Aero,4949,2345.07,2024-06-18,1
154,Umbra Fragrance 977,Beauty,Fragrance,Lumen,2389,1857.4,2020-05-19,1
155,Cobalt Fragrance 342,Beauty,Fragrance,Pixel,2759,1715.44,2023-04-05,1
156,Nimbus Fragrance 833,Beauty,Fragrance,Ember,5499,3180.59,2021-10-24,1
157,Quanta Makeup 628,Beauty,Makeup,Raven,219,129.38,2022-02-19,1
158,Raven Makeup 133,Beauty,Makeup,Orbit,709,400.03,2023-04-29,1
159,Nimbus Makeup 801,Beauty,Makeup,Kraft,789,632.46,2024-08-29,1
160,Cobalt Makeup 372,Beauty,Makeup,Kraft,309,205.5,2023-11-16,1
161,Raven Makeup 202,Beauty,Makeup,Lumen,1269,894.82,2020-12-02,1
162,Orbit Makeup 723,Beauty,Makeup,Sable,1969,941.24,2021-02-19,1
163,Aero Makeup 789,Beauty,Makeup,Raven,479,382.66,2023-09-04,1
164,Lumen Fitness 240,Sports,Fitness,Kraft,1669,791.46,2022-02-02,1
165,Vista Fitness 982,Sports,Fitness,Quanta,329,232.85,2025-03-02,1
166,Nova Fitness 556,Sports,Fitness,Cobalt,399,278.86,2022-08-19,1
167,Vista Fitness 966,Sports,Fitness,Kraft,1109,714.82,2021-09-17,1
168,Pixel Fitness 178,Sports,Fitness,Kraft,1489,950.16,2022-04-12,1
169,Ember Fitness 998,Sports,Fitness,Nimbus,5459,4407.69,2024-06-21,1
170,Cobalt Fitness 680,Sports,Fitness,Sable,4119,3092.3,2021-09-27,1
171,Tundra Fitness 585,Sports,Fitness,Aero,7679,3671.15,2024-07-09,1
172,Orbit Fitness 622,Sports,Fitness,Orbit,319,191.28,2022-09-07,1
173,Kraft Outdoor 696,Sports,Outdoor,Tundra,3109,2220.42,2024-03-07,1
174,Pixel Outdoor 898,Sports,Outdoor,Zenith,11899,5493.48,2022-01-17,1
175,Kraft Outdoor 838,Sports,Outdoor,Nimbus,7819,6550.81,2024-11-30,1
176,Zenith Outdoor 132,Sports,Outdoor,Orbit,839,445.04,2020-10-29,0
177,Cobalt Outdoor 804,Sports,Outdoor,Kraft,2109,1626.99,2020-01-09,1
178,Zenith Outdoor 119,Sports,Outdoor,Kraft,809,645.11,2022-08-16,1
179,Aero Outdoor 705,Sports,Outdoor,Umbra,559,312.16,2024-06-23,1
180,Tundra Outdoor 284,Sports,Outdoor,Pixel,2399,1293.55,2024-12-08,1
181,Quanta Cycling 431,Sports,Cycling,Quanta,1779,819.06,2024-12-16,1
182,Kraft Cycling 730,Sports,Cycling,Tundra,20079,11212.05,2020-04-07,1
183,Vista Cycling 993,Sports,Cycling,Nova,8939,5422.15,2020-02-22,1
184,Aero Cycling 458,Sports,Cycling,Quanta,5269,3828.46,2022-11-20,1
185,Pixel Cycling 786,Sports,Cycling,Raven,5539,2744.88,2021-04-05,1
186,Aero Cycling 589,Sports,Cycling,Quanta,2859,1923.68,2023-12-24,1
187,Aero Cycling 832,Sports,Cycling,Nimbus,10279,7753.14,2022-07-22,1
188,Ember Yoga 861,Sports,Yoga,Quanta,479,343.15,2021-10-26,1
189,Nova Yoga 342,Sports,Yoga,Orbit,639,539.08,2020-12-30,1
190,Cobalt Yoga 144,Sports,Yoga,Vista,2289,1087.9,2020-12-26,1
191,Kraft Yoga 929,Sports,Yoga,Umbra,399,324.71,2023-08-20,1
192,Tundra Yoga 124,Sports,Yoga,Quanta,1169,802.27,2022-07-20,1
193,Zenith Yoga 103,Sports,Yoga,Tundra,3809,2652.01,2021-06-18,1
194,Orbit Yoga 987,Sports,Yoga,Zenith,559,378.63,2021-01-12,1
195,Cobalt Yoga 538,Sports,Yoga,Tundra,349,231.22,2024-05-28,1
196,Umbra Yoga 945,Sports,Yoga,Tundra,309,210.07,2021-02-27,0
