payment_id,order_id,payment_method,payment_status,amount,paid_at
500037,100037,Wallet,Success,1927.0,2022-05-02 08:55:04
500038,100038,UPI,Success,4872.3,2022-05-02 12:09:49
500039,100039,UPI,Success,1524.65,2022-05-04 02:03:34
500040,100040,UPI,Refunded,1988.0,2022-05-05 14:23:22
500041,100041,COD,Success,2298.0,2022-05-06 18:58:13
500042,100042,UPI,Success,1030.95,2022-05-07 14:34:33
500043,100043,Net Banking,Success,1587.0,2022-05-07 10:48:49
500044,100044,UPI,Refunded,3517.2,2022-05-08 05:29:25
500045,100045,UPI,Success,7077.0,2022-05-09 11:04:16
500046,100046,Credit Card,Success,558.0,2022-05-09 23:11:46
500047,100047,Credit Card,Success,2341.1,2022-05-09 10:54:20
500048,100048,Net Banking,Success,5528.55,2022-05-11 21:27:34
500049,100049,Wallet,Success,498.0,2022-05-12 06:52:13
500050,100050,UPI,Success,375.2,2022-05-13 07:13:07
500051,100051,UPI,Success,2502.15,2022-05-14 14:23:04
500052,100052,Wallet,Failed,246.1,2022-05-18 08:39:00
500053,100053,UPI,Success,1950.1,2022-05-20 19:03:32
500054,100054,Credit Card,Success,453.1,2022-05-22 16:02:50
500055,100055,Wallet,Success,2738.0,2022-05-22 14:15:24
500056,100056,Net Banking,Success,345.1,2022-05-24 17:06:46
500057,100057,UPI,Success,3904.2,2022-05-24 14:24:16
500058,100058,Debit Card,Success,1426.1,2022-05-26 13:14:04
500059,100059,Debit Card,Failed,2474.4,2022-05-26 00:08:33
500060,100060,Wallet,Success,570.55,2022-05-27 08:04:12
500061,100061,Credit Card,Success,1643.95,2022-05-27 13:41:09
500062,100062,UPI,Refunded,7605.3,2022-05-28 03:12:20
500063,100063,Debit Card,Success,19892.9,2022-05-28 20:26:03
500064,100064,UPI,Success,1647.7,2022-05-30 08:13:14
500065,100065,Credit Card,Success,2142.75,2022-05-30 23:59:55
500066,100066,UPI,Success,774.22,2022-06-01 00:27:33
500067,100067,Debit Card,Refunded,874.1,2022-06-01 10:04:06
500068,100068,Credit Card,Success,453.1,2022-06-02 14:43:37
500069,100069,Credit Card,Success,947.0,2022-06-02 13:19:24
500070,100070,UPI,Success,2753.45,2022-06-03 15:41:38
500071,100071,Debit Card,Failed,1459.0,2022-06-04 07:45:51
500072,100072,Credit Card,Success,408.2,2022-06-05 18:23:12
500073,100073,UPI,Success,246.1,2022-06-05 00:21:53
500074,100074,Wallet,Success,817.55,2022-06-07 01:43:00
500075,100075,UPI,Success,1774.4,2022-06-09 16:23:21
500076,100076,Credit Card,Failed,3410.1,2022-06-09 00:00:29
500077,100077,Debit Card,Success,892.65,2022-06-10 20:58:44
500078,100078,Credit Card,Success,896.0,2022-06-12 16:19:49
500079,100079,UPI,Success,498.0,2022-06-12 11:51:18
500080,100080,Credit Card,Success,408.2,2022-06-13 15:40:03
500081,100081,Net Banking,Success,1149.0,2022-06-14 00:40:05
500082,100082,UPI,Success,475.55,2022-06-14 04:07:03
500083,100083,Credit Card,Success,673.2,2022-06-15 19:53:48
500084,100084,UPI,Success,574.1,2022-06-16 00:08:50
500085,100085,UPI,Refunded,801.1,2022-06-16 15:59:17
500086,100086,Credit Card,Success,498.0,2022-06-17 15:16:57
500087,100087,Credit Card,Success,1406.6,2022-06-18 14:57:45
500088,100088,Debit Card,Success,150.15,2022-06-18 14:42:26
500089,100089,Credit Card,Success,2608.2,2022-06-18 08:09:18
500090,100090,COD,Success,720.2,2022-06-20 06:43:33
500091,100091,UPI,Success,856.05,2022-06-22 10:35:42
500092,100092,Net Banking,Success,498.0,2022-06-22 03:03:20
500093,100093,Credit Card,Success,475.55,2022-06-22 10:28:31
500094,100094,Debit Card,Success,857.2,2022-06-23 16:59:54
500095,100095,Credit Card,Success,328.65,2022-06-23 10:25:17
500096,100096,Net Banking,Success,1148.0,2022-06-23 18:28:46
500097,100097,Credit Card,Success,177103.4,2022-06-24 18:50:00
500098,100098,UPI,Success,569.2,2022-06-24 11:01:15
500099,100099,Debit Card,Failed,407.79,2022-06-25 05:55:43
500100,100100,Debit Card,Success,1285.1,2022-06-25 18:27:16
500101,100101,UPI,Success,3705.15,2022-06-25 15:17:48
500102,100102,UPI,Success,430.65,2022-06-26 08:40:45
500103,100103,UPI,Success,487.0,2022-06-26 12:21:42
500104,100104,Credit Card,Success,7539.3,2022-06-27 11:44:26
500105,100105,Net Banking,Success,2938.6,2022-06-27 11:35:08
500106,100106,UPI,Success,1452.55,2022-06-27 14:48:06
500107,100107,UPI,Success,1047.4,2022-06-27 22:07:15
500108,100108,Debit Card,Success,110738.0,2022-06-27 21:47:40
500109,100109,UPI,Success,976.0,2022-06-28 19:51:10
500110,100110,COD,Success,1038.0,2022-06-28 06:39:53
500111,100111,Credit Card,Success,5696.0,2022-06-29 22:28:24
500112,100112,UPI,Refunded,333805.05,2022-06-29 18:04:18
500113,100113,Debit Card,Success,1862.3,2022-06-30 14:37:24
500114,100114,UPI,Success,1082.15,2022-07-01 00:14:15
500115,100115,Net Banking,Success,798.0,2022-07-01 11:09:05
500116,100116,UPI,Success,358.0,2022-07-01 10:56:57
500117,100117,Credit Card,Success,224.2,2022-07-01 17:40:38
500118,100118,Credit Card,Success,6658.1,2022-07-02 00:06:35
500119,100119,Debit Card,Success,94803.8,2022-07-02 14:13:40
500120,100120,Net Banking,Success,830.15,2022-07-02 18:04:28
500121,100121,UPI,Success,2907.45,2022-07-03 23:02:54
500122,100122,UPI,Success,1667.15,2022-07-03 17:06:55
500123,100123,Debit Card,Success,528.0,2022-07-03 10:09:03
500124,100124,Debit Card,Success,848.55,2022-07-04 04:06:20
500125,100125,COD,Success,3010.55,2022-07-05 09:15:39
500126,100126,UPI,Success,2422.1,2022-07-05 07:04:33
500127,100127,UPI,Success,453.1,2022-07-06 23:42:36
500128,100128,Debit Card,Success,1077.6,2022-07-08 18:59:10
500129,100129,UPI,Success,939.1,2022-07-08 17:07:35
500130,100130,Debit Card,Success,202.3,2022-07-09 13:09:56
500131,100131,UPI,Success,6648.0,2022-07-09 05:37:14
500132,100132,UPI,Success,2817.3,2022-07-10 14:14:55
500133,100133,COD,Success,3135.3,2022-07-10 05:57:32
500134,100134,Debit Card,Success,315945.3,2022-07-10 21:58:55
500135,100135,Debit Card,Success,1038.0,2022-07-10 17:39:32
500136,100136,Credit Card,Success,710.3,2022-07-10 15:28:12
500137,100137,Net Banking,Success,498.0,2022-07-11 00:35:56
500138,100138,UPI,Success,2289.2,2022-07-11 01:00:45
500139,100139,COD,Success,937.3,2022-07-12 22:57:08
500140,100140,UPI,Success,5318.1,2022-07-12 06:20:00
500141,100141,Credit Card,Success,1108.0,2022-07-12 16:16:54
500142,100142,Net Banking,Success,957.0,2022-07-13 07:43:46
500143,100143,UPI,Success,3241.05,2022-07-15 02:46:57
500144,100144,Net Banking,Refunded,1036.2,2022-07-15 11:57:58
500145,100145,Credit Card,Success,821.65,2022-07-15 05:20:43
500146,100146,Net Banking,Success,1747.2,2022-07-18 01:57:31
500147,100147,UPI,Success,363.3,2022-07-19 12:45:25
500148,100148,Credit Card,Success,769.15,2022-07-19 09:40:43
500149,100149,Credit Card,Success,650.2,2022-07-20 07:33:33
500150,100150,UPI,Success,430.65,2022-07-20 01:41:21
500151,100151,UPI,Success,916.0,2022-07-20 22:08:27
500152,100152,Credit Card,Success,363.1,2022-07-21 22:44:26
500153,100153,Debit Card,Success,2355.1,2022-07-21 00:22:18
500154,100154,Debit Card,Success,475.55,2022-07-21 02:37:32
500155,100155,Credit Card,Success,2372.3,2022-07-23 11:23:59
500156,100156,Net Banking,Success,649.65,2022-07-23 10:48:50
500157,100157,UPI,Refunded,676.0,2022-07-24 15:10:11
500158,100158,UPI,Success,1737.55,2022-07-25 23:19:44
500159,100159,Wallet,Success,498.0,2022-07-26 22:35:35
500160,100160,Debit Card,Success,5091.1,2022-07-27 16:36:54
500161,100161,UPI,Success,268.0,2022-07-27 02:24:20
500162,100162,COD,Success,1144.95,2022-07-28 15:09:46
500163,100163,Net Banking,Refunded,2675.05,2022-07-28 21:34:09
500164,100164,COD,Success,661.15,2022-07-28 16:54:53
500165,100165,Debit Card,Success,1280.3,2022-07-28 05:19:27
500166,100166,UPI,Failed,10876.0,2022-07-29 02:21:19
500167,100167,UPI,Success,10116.65,2022-07-29 05:12:37
500168,100168,UPI,Success,874.2,2022-07-30 01:33:41
500169,100169,Credit Card,Success,1157.1,2022-08-01 02:21:41
500170,100170,COD,Success,2581.2,2022-08-01 21:05:39
500171,100171,COD,Success,1379.1,2022-08-02 14:15:06
500172,100172,Credit Card,Success,812.3,2022-08-02 19:09:56
500173,100173,COD,Success,947.0,2022-08-02 18:32:25
500174,100174,UPI,Success,677.2,2022-08-02 02:44:31
500175,100175,Credit Card,Success,758.0,2022-08-02 05:09:05
500176,100176,UPI,Success,408.2,2022-08-03 05:33:59
500177,100177,UPI,Refunded,498.0,2022-08-03 07:22:47
500178,100178,UPI,Success,14878.8,2022-08-03 18:38:46
500179,100179,UPI,Success,7553.2,2022-08-05 14:12:03
500180,100180,Credit Card,Success,268.0,2022-08-05 13:58:24
500181,100181,Credit Card,Failed,915.0,2022-08-06 00:59:25
500182,100182,UPI,Success,1799.2,2022-08-07 05:45:05
500183,100183,Debit Card,Success,342.55,2022-08-08 13:51:07
500184,100184,COD,Success,748.0,2022-08-08 17:03:56
500185,100185,UPI,Failed,1034.1,2022-08-09 23:18:25
500186,100186,UPI,Success,598.0,2022-08-09 12:00:11
500187,100187,UPI,Success,11273.3,2022-08-10 11:26:11
500188,100188,Net Banking,Success,1801.75,2022-08-11 21:27:02
500189,100189,Debit Card,Success,6766.65,2022-08-11 04:53:10
500190,100190,Debit Card,Success,1967.2,2022-08-11 05:13:38
500191,100191,Debit Card,Success,1868.3,2022-08-11 04:18:19
500192,100192,UPI,Success,857.2,2022-08-11 09:03:06
500193,100193,Credit Card,Success,453.1,2022-08-13 00:39:19
500194,100194,UPI,Success,388.0,2022-08-13 13:49:21
500195,100195,Credit Card,Success,5909.0,2022-08-13 12:27:02
500196,100196,Debit Card,Success,2599.1,2022-08-13 00:55:50
500197,100197,UPI,Success,1594.7,2022-08-13 03:11:18
500198,100198,Credit Card,Success,1131.1,2022-08-14 17:27:50
500199,100199,Net Banking,Success,268.0,2022-08-15 17:07:47
500200,100200,Wallet,Success,498.0,2022-08-15 02:49:04
500201,100201,UPI,Success,4106.05,2022-08-15 10:55:35
500202,100202,UPI,Success,498.0,2022-08-16 16:05:42
500203,100203,UPI,Success,2068.2,2022-08-16 19:29:50
500204,100204,UPI,Success,958.0,2022-08-16 00:59:32
500205,100205,Wallet,Success,1150.4,2022-08-17 07:03:27
500206,100206,Net Banking,Success,713.05,2022-08-17 02:46:18
500207,100207,UPI,Success,1328.0,2022-08-18 21:58:10
500208,100208,UPI,Success,498.0,2022-08-18 19:57:07
500209,100209,Debit Card,Success,498.0,2022-08-19 13:05:36
500210,100210,Credit Card,Success,498.0,2022-08-19 14:57:22
500211,100211,Debit Card,Success,1041.7,2022-08-19 19:06:45
500212,100212,Wallet,Success,2616.55,2022-08-19 00:20:56
500213,100213,UPI,Success,498.0,2022-08-19 23:36:07
500214,100214,UPI,Success,684.15,2022-08-21 17:09:23
500215,100215,UPI,Success,246.1,2022-08-21 09:44:51
500216,100216,Debit Card,Success,111365.75,2022-08-21 19:42:56
500217,100217,UPI,Success,1441.45,2022-08-22 18:38:32
500218,100218,Credit Card,Success,7099.55,2022-08-23 06:34:32
500219,100219,UPI,Success,830.15,2022-08-23 15:10:57
500220,100220,UPI,Success,969.1,2022-08-24 22:22:52
500221,100221,Credit Card,Success,453.1,2022-08-24 08:12:38
500222,100222,COD,Refunded,453.1,2022-08-25 15:19:12
500223,100223,UPI,Success,1566.0,2022-08-25 12:39:04
500224,100224,COD,Success,370.3,2022-08-25 09:54:16
500225,100225,UPI,Success,498.0,2022-08-27 14:34:03
500226,100226,UPI,Success,1232.1,2022-08-27 13:53:03
500227,100227,Credit Card,Refunded,798.0,2022-08-27 18:20:52
500228,100228,Credit Card,Failed,2005.55,2022-08-27 19:45:37
500229,100229,UPI,Success,661.15,2022-08-27 09:12:47
500230,100230,Credit Card,Refunded,224.2,2022-08-27 18:44:39
500231,100231,Debit Card,Success,3470.7,2022-08-28 07:14:20
500232,100232,Net Banking,Success,686.1,2022-08-28 08:01:12
500233,100233,Net Banking,Success,812.3,2022-08-28 23:43:39
500234,100234,Credit Card,Success,820.2,2022-08-30 21:49:00
500235,100235,Debit Card,Success,1152.1,2022-08-30 01:47:37
500236,100236,Credit Card,Success,1204.2,2022-08-31 19:10:06
500237,100237,Credit Card,Success,2836.65,2022-08-31 13:22:14
500238,100238,Credit Card,Success,453.1,2022-09-01 00:42:08
500239,100239,Credit Card,Success,611.05,2022-09-01 00:05:58
500240,100240,Credit Card,Success,1359.0,2022-09-02 19:51:19
500241,100241,Credit Card,Success,408.1,2022-09-02 08:15:47
500242,100242,UPI,Success,6795.0,2022-09-03 01:54:22
500243,100243,UPI,Success,2517.7,2022-09-03 16:43:02
500244,100244,UPI,Success,2027.0,2022-09-04 06:27:17
500245,100245,UPI,Success,1149.0,2022-09-05 02:53:17
500246,100246,UPI,Success,1680.65,2022-09-05 17:42:11
500247,100247,Debit Card,Success,686.2,2022-09-05 14:43:16
500248,100248,Credit Card,Success,498.0,2022-09-05 18:10:51
500249,100249,UPI,Success,1279.65,2022-09-05 19:02:09
500250,100250,UPI,Success,1882.4,2022-09-06 03:27:30
500251,100251,UPI,Success,2657.75,2022-09-06 11:56:53
500252,100252,COD,Success,2479.4,2022-09-06 18:50:19
500253,100253,Credit Card,Success,1989.65,2022-09-06 22:35:30
500254,100254,UPI,Success,1347.0,2022-09-07 14:24:33
500255,100255,UPI,Success,665.2,2022-09-07 12:32:33
500256,100256,UPI,Success,246.1,2022-09-07 22:51:11
500257,100257,UPI,Success,759.65,2022-09-07 17:10:08
500258,100258,UPI,Success,2083.55,2022-09-08 11:20:16
500259,100259,UPI,Success,464.15,2022-09-08 14:58:03
500260,100260,Credit Card,Success,1978.0,2022-09-09 00:59:47
500261,100261,Credit Card,Success,528.0,2022-09-09 18:31:14
500262,100262,UPI,Success,830.15,2022-09-10 05:33:19
500263,100263,Credit Card,Success,703.55,2022-09-10 17:52:12
500264,100264,UPI,Success,1612.2,2022-09-11 01:53:50
500265,100265,UPI,Success,2747.0,2022-09-11 21:23:29
500266,100266,Debit Card,Success,717.0,2022-09-11 11:34:53
500267,100267,Net Banking,Success,2345.1,2022-09-12 10:28:25
500268,100268,Credit Card,Refunded,1599.3,2022-09-12 15:43:16
500269,100269,UPI,Success,867.0,2022-09-13 23:10:38
500270,100270,Debit Card,Success,1343.2,2022-09-13 17:47:42
500271,100271,UPI,Success,3139.0,2022-09-13 06:44:07
500272,100272,Debit Card,Success,2041.05,2022-09-13 16:46:32
500273,100273,Debit Card,Success,487.0,2022-09-14 03:05:59
500274,100274,Credit Card,Success,707.0,2022-09-14 10:25:19
500275,100275,COD,Success,363.3,2022-09-14 08:35:13
500276,100276,Net Banking,Success,650.75,2022-09-14 19:56:17
500277,100277,COD,Success,4765.3,2022-09-14 19:05:59
500278,100278,Credit Card,Success,1713.4,2022-09-15 23:13:03
500279,100279,UPI,Refunded,2228.45,2022-09-16 00:19:26
500280,100280,UPI,Success,6199.0,2022-09-17 07:25:07
500281,100281,UPI,Success,528.0,2022-09-17 10:43:17
500282,100282,Net Banking,Success,453.1,2022-09-17 17:48:19
500283,100283,UPI,Success,767.4,2022-09-17 02:05:49
500284,100284,UPI,Success,2085.1,2022-09-19 06:20:06
500285,100285,Credit Card,Success,2913.8,2022-09-19 14:01:31
500286,100286,UPI,Success,1679.75,2022-09-20 09:20:47
500287,100287,COD,Success,848.55,2022-09-20 17:45:09
500288,100288,Credit Card,Success,268.0,2022-09-21 04:30:56
500289,100289,Debit Card,Success,268.0,2022-09-21 13:39:11
500290,100290,UPI,Refunded,498.0,2022-09-21 20:13:30
500291,100291,COD,Success,498.0,2022-09-22 03:56:35
500292,100292,UPI,Success,453.1,2022-09-22 12:51:11
500293,100293,UPI,Success,481.95,2022-09-23 15:29:56
500294,100294,UPI,Success,1925.75,2022-09-23 17:07:44
500295,100295,Net Banking,Success,2190.5,2022-09-24 20:00:35
500296,100296,UPI,Success,498.0,2022-09-24 12:07:35
500297,100297,UPI,Success,498.0,2022-09-25 13:28:57
500298,100298,UPI,Success,3046.55,2022-09-25 16:13:29
500299,100299,UPI,Success,11805.0,2022-09-25 19:21:16
500300,100300,UPI,Success,1126.1,2022-09-25 22:44:10
500301,100301,Credit Card,Success,1655.15,2022-09-25 07:15:05
500302,100302,Credit Card,Failed,2524.4,2022-09-27 12:36:40
500303,100303,UPI,Success,1336.0,2022-09-27 09:19:16
500304,100304,Net Banking,Success,3658.0,2022-09-28 03:20:02
500305,100305,UPI,Success,558.0,2022-09-29 12:12:03
500306,100306,Credit Card,Success,1435.05,2022-09-29 12:31:59
500307,100307,UPI,Success,648.2,2022-09-29 21:30:01
500308,100308,UPI,Success,3311.05,2022-09-29 20:03:32
500309,100309,Wallet,Success,4507.3,2022-09-29 17:51:45
500310,100310,UPI,Success,1680.6,2022-09-29 19:18:31
500311,100311,UPI,Success,838.0,2022-09-29 17:42:57
500312,100312,UPI,Success,1198.0,2022-09-29 12:07:10
500313,100313,Credit Card,Success,6144.6,2022-09-30 11:33:24
500314,100314,UPI,Success,4966.2,2022-09-30 22:53:07
500315,100315,Debit Card,Success,9935.25,2022-09-30 11:53:34
500316,100316,Debit Card,Success,2025.35,2022-09-30 05:34:37
500317,100317,UPI,Success,723.1,2022-10-01 18:07:55
500318,100318,Credit Card,Success,1279.65,2022-10-01 06:43:36
500319,100319,UPI,Success,528.0,2022-10-01 00:09:13
500320,100320,Credit Card,Success,800.75,2022-10-01 22:53:46
500321,100321,Wallet,Success,9918.4,2022-10-01 17:31:59
500322,100322,Credit Card,Success,1758.3,2022-10-02 15:56:50
500323,100323,Debit Card,Success,4497.0,2022-10-02 04:35:59
500324,100324,Credit Card,Success,1751.3,2022-10-02 07:38:40
500325,100325,Credit Card,Success,345.1,2022-10-02 04:34:40
500326,100326,UPI,Success,498.0,2022-10-03 23:01:14
500327,100327,UPI,Success,24779.55,2022-10-03 15:41:14
500328,100328,Credit Card,Success,237.1,2022-10-03 10:33:12
500329,100329,UPI,Success,430.65,2022-10-03 09:07:10
500330,100330,UPI,Success,608.2,2022-10-04 20:57:21
500331,100331,Debit Card,Success,1038.65,2022-10-04 05:01:34
500332,100332,UPI,Success,235.15,2022-10-04 14:04:29
500333,100333,UPI,Success,5926.15,2022-10-04 14:56:13
500334,100334,COD,Success,6145.0,2022-10-05 05:53:32
500335,100335,UPI,Success,956.0,2022-10-05 23:55:44
500336,100336,Credit Card,Success,1539.15,2022-10-05 16:02:06
500337,100337,UPI,Success,853.47,2022-10-06 07:47:30
500338,100338,UPI,Success,687.0,2022-10-06 21:38:42
500339,100339,COD,Success,1718.0,2022-10-06 15:01:45
500340,100340,UPI,Success,877.0,2022-10-07 06:55:42
500341,100341,Credit Card,Success,1193.75,2022-10-08 10:53:17
500342,100342,COD,Success,1015.5,2022-10-09 21:17:39
500343,100343,Credit Card,Success,846.05,2022-10-09 20:47:13
500344,100344,Debit Card,Success,3019.1,2022-10-09 23:13:47
500345,100345,UPI,Success,378.0,2022-10-09 17:11:53
500346,100346,Credit Card,Success,408.2,2022-10-09 10:01:08
500347,100347,Credit Card,Success,1091.55,2022-10-10 19:43:26
500348,100348,UPI,Success,408.2,2022-10-10 10:27:33
500349,100349,UPI,Success,8718.0,2022-10-11 20:36:51
500350,100350,COD,Refunded,1599.2,2022-10-11 11:45:36
500351,100351,COD,Success,106344.65,2022-10-11 05:35:50
500352,100352,UPI,Success,1001.1,2022-10-11 17:00:29
500353,100353,UPI,Success,3170.65,2022-10-11 21:58:07
500354,100354,UPI,Success,453.1,2022-10-11 00:06:38
500355,100355,Credit Card,Success,224.2,2022-10-12 07:45:17
500356,100356,Wallet,Success,328.2,2022-10-12 19:52:49
500357,100357,Credit Card,Success,847.15,2022-10-12 11:06:44
500358,100358,COD,Success,2606.3,2022-10-13 18:12:45
500359,100359,UPI,Success,461.2,2022-10-13 21:36:14
500360,100360,Credit Card,Success,816.05,2022-10-14 19:15:31
500361,100361,UPI,Success,3398.0,2022-10-14 17:46:36
500362,100362,Net Banking,Success,1512.75,2022-10-14 11:16:22
500363,100363,COD,Success,457.0,2022-10-14 11:22:47
500364,100364,UPI,Success,3200.25,2022-10-15 14:08:50
500365,100365,Credit Card,Success,4943.3,2022-10-15 04:34:22
500366,100366,UPI,Success,1524.6,2022-10-15 02:04:23
500367,100367,UPI,Refunded,295.05,2022-10-15 12:06:24
500368,100368,UPI,Success,1540.2,2022-10-15 00:23:57
500369,100369,Debit Card,Success,727.0,2022-10-16 15:33:13
500370,100370,UPI,Success,947.0,2022-10-17 03:49:59
500371,100371,Credit Card,Success,6579.0,2022-10-17 17:07:22
500372,100372,Credit Card,Refunded,5018.2,2022-10-18 00:00:24
500373,100373,UPI,Refunded,3044.1,2022-10-18 23:34:02
500374,100374,UPI,Success,902.1,2022-10-18 15:13:12
500375,100375,Net Banking,Success,968.0,2022-10-19 20:07:39
500376,100376,Credit Card,Success,498.0,2022-10-19 09:50:30
500377,100377,UPI,Success,25138.0,2022-10-19 07:20:20
500378,100378,Debit Card,Success,787.0,2022-10-19 11:24:08
500379,100379,UPI,Success,3265.1,2022-10-19 18:25:50
500380,100380,UPI,Success,430.65,2022-10-19 02:04:46
500381,100381,Debit Card,Success,268.0,2022-10-20 12:25:58
500382,100382,UPI,Success,4343.1,2022-10-20 07:34:32
500383,100383,Debit Card,Success,408.2,2022-10-20 17:55:20
500384,100384,Debit Card,Refunded,11778.1,2022-10-20 09:37:17
500385,100385,UPI,Success,1569.0,2022-10-21 02:21:14
500386,100386,Net Banking,Success,810.55,2022-10-21 17:02:52
500387,100387,UPI,Success,1959.15,2022-10-21 16:03:11
500388,100388,Debit Card,Success,779.1,2022-10-21 17:36:41
500389,100389,Debit Card,Success,1149.0,2022-10-22 14:53:25
500390,100390,Wallet,Success,1212.3,2022-10-22 07:20:46
500391,100391,Credit Card,Success,713.05,2022-10-23 05:58:19
500392,100392,Net Banking,Success,358.0,2022-10-23 04:55:42
500393,100393,Debit Card,Success,498.0,2022-10-23 02:57:36
500394,100394,Debit Card,Success,6797.2,2022-10-23 17:12:08
500395,100395,Net Banking,Success,1054.4,2022-10-23 18:32:50
500396,100396,UPI,Success,475.55,2022-10-24 16:57:59
500397,100397,Net Banking,Success,661.15,2022-10-25 19:33:42
500398,100398,UPI,Success,4619.0,2022-10-25 10:04:33
500399,100399,Credit Card,Success,1829.0,2022-10-25 11:15:16
500400,100400,UPI,Success,475.55,2022-10-25 07:21:28
500401,100401,UPI,Success,363.3,2022-10-26 07:10:00
500402,100402,UPI,Success,1649.2,2022-10-26 08:32:32
500403,100403,Credit Card,Success,430.65,2022-10-27 13:31:31
500404,100404,Debit Card,Refunded,1881.75,2022-10-27 02:56:16
500405,100405,UPI,Success,235.15,2022-10-27 15:29:07
500406,100406,UPI,Success,1020.7,2022-10-27 11:24:38
500407,100407,Debit Card,Success,947.0,2022-10-27 11:32:13
500408,100408,Credit Card,Success,4151.7,2022-10-27 09:49:39
500409,100409,UPI,Success,448.0,2022-10-27 07:56:48
500410,100410,Credit Card,Success,2257.25,2022-10-28 04:19:13
500411,100411,Debit Card,Success,453.1,2022-10-28 02:38:33
500412,100412,UPI,Success,597.1,2022-10-28 05:30:35
500413,100413,Credit Card,Success,1279.65,2022-10-28 17:19:55
500414,100414,COD,Success,1212.2,2022-10-29 12:42:02
500415,100415,Wallet,Success,1039.4,2022-10-29 02:31:03
500416,100416,UPI,Success,767.4,2022-10-30 02:43:08
500417,100417,Net Banking,Success,1022.1,2022-10-30 06:02:37
500418,100418,Credit Card,Success,658.0,2022-10-31 20:50:06
500419,100419,UPI,Success,2060.55,2022-10-31 18:48:37
500420,100420,Credit Card,Success,12117.3,2022-10-31 06:33:32
500421,100421,UPI,Success,5199.0,2022-11-01 06:07:09
500422,100422,UPI,Refunded,2762.7,2022-11-01 22:39:40
500423,100423,UPI,Success,398.0,2022-11-01 04:43:18
500424,100424,Debit Card,Success,1086.0,2022-11-01 09:03:04
500425,100425,Credit Card,Success,1086.3,2022-11-01 03:58:12
500426,100426,UPI,Success,41485.95,2022-11-02 00:00:07
500427,100427,UPI,Success,1647.0,2022-11-03 03:11:18
500428,100428,UPI,Refunded,498.0,2022-11-03 12:12:31
500429,100429,UPI,Success,1157.2,2022-11-03 14:47:08
500430,100430,UPI,Success,1007.0,2022-11-03 14:06:11
500431,100431,Credit Card,Success,5906.65,2022-11-04 14:35:28
500432,100432,Debit Card,Success,363.3,2022-11-04 20:08:03
500433,100433,UPI,Success,498.0,2022-11-04 21:30:01
500434,100434,Debit Card,Success,1177.0,2022-11-04 06:16:32
500435,100435,Credit Card,Success,3462.1,2022-11-05 17:27:25
500436,100436,Wallet,Success,235.15,2022-11-06 13:49:14
500437,100437,Credit Card,Success,363.3,2022-11-07 11:42:30
500438,100438,Debit Card,Success,768.0,2022-11-07 10:05:20
500439,100439,Wallet,Success,257.05,2022-11-08 09:57:17
500440,100440,Debit Card,Success,430.65,2022-11-08 23:35:22
500441,100441,Net Banking,Success,430.65,2022-11-08 22:07:42
